country,app,installs,daus,retention_rate_d7,roas_d7,cost
Philippines,Merge HomeTown,18,14.0,0.2222,0.0,0.0
Switzerland,Merge Fever,18,37.75,0.3158,0.4275,40.3752
Hungary,Merge HomeTown,17,21.125,0.1176,0.0,0.0
Puerto Rico,Merge Fever,17,24.75,0.1667,0.344,10.2663
South Africa,Merge HomeTown,17,17.25,0.1765,0.0,0.0
Egypt,Merge HomeTown,16,15.125,0.125,0.0,0.0
Poland,Tales and Dragon,16,25.0,0.125,0.0,0.0
Czech Republic,Merge HomeTown,15,12.625,0.0667,0.0,0.0
Honduras,Merge Fever,15,17.0,0.2667,1.2332,1.7352
Italy,Tales and Dragon,15,11.75,0.2,0.0,0.0
Romania,Merge HomeTown,15,15.625,0.0667,0.0,0.0
Algeria,Merge Fever,14,13.125,0.0714,0.0,0.0
Belarus,Merge Fever,14,16.0,0.3571,0.0,0.0
Serbia,Merge Fever,14,22.5,0.1429,0.0,0.0
Austria,Merge Fever,13,21.625,0.2308,0.0,0.0
Costa Rica,Merge Fever,13,31.25,0.0769,0.3281,5.433
Mexico,Merge HomeTown,13,6.375,0.0,0.0,0.0
Pakistan,Merge HomeTown,13,4.5,0.0,0.0,0.0
Belgium,Merge HomeTown,12,21.75,0.0,0.0,0.0
Kazakhstan,Merge Fever,12,6.5,0.0833,0.0,0.0
Nepal,Merge Fever,12,7.25,0.0769,0.1326,0.5227
"Taiwan, Province Of China",Merge HomeTown,12,12.25,0.1667,0.0,0.0
Ukraine,Tales and Dragon,12,9.625,0.1667,0.0,0.0
Denmark,Merge HomeTown,11,7.5,0.0909,0.0,0.0
Ecuador,Merge Fever,11,10.25,0.0909,0.0,0.0
El Salvador,Merge Fever,11,23.0,0.1667,0.4045,1.7825
Hungary,Merge Fever,11,21.75,0.1818,0.0,0.0
Myanmar,Merge Fever,11,9.125,0.0,0.0,0.0
Slovakia,Merge Fever,11,21.5,0.0909,0.0,0.0
Spain,Tales and Dragon,11,17.75,0.1818,0.0,0.0
"Venezuela, Bolivarian Republic Of",Merge Fever,11,11.25,0.1818,0.0,0.0
Bangladesh,Merge HomeTown,10,4.375,0.0,0.0,0.0
Greece,Merge HomeTown,10,13.375,0.0,0.0,0.0
Malaysia,Merge HomeTown,10,17.5,0.3,0.0,0.0
Oman,Merge Fever,10,18.75,0.1,0.4305,4.8667
Serbia,Merge HomeTown,10,8.25,0.4,0.0,0.0
South Korea,Tales and Dragon,10,8.875,0.0,0.0,0.0
Austria,Merge HomeTown,9,16.875,0.0,0.0,0.0
Indonesia,Tales and Dragon,9,7.0,0.2222,0.0,0.0
"Iran, Islamic Republic Of",Merge HomeTown,9,8.625,0.0,0.0,0.0
Japan,Tales and Dragon,9,8.0,0.0,0.0,0.0
Russia,Merge Fever,9,21.5,0.2222,0.0,0.0
Australia,Tales and Dragon,8,10.125,0.25,0.0,0.0
Belarus,Merge HomeTown,8,9.125,0.125,0.0,0.0
Croatia,Merge Fever,8,12.625,0.5,0.0,0.0
Cuba,Merge Fever,8,18.75,0.125,0.0,0.0
Cyprus,Merge Fever,8,14.125,0.0,0.0064,10.0874
Ethiopia,Merge Fever,8,4.75,0.0,0.0,0.0
Malta,Merge Fever,8,5.125,0.0,0.4063,4.0667
Mauritius,Merge Fever,8,9.125,0.0,0.0768,1.9588
Nigeria,Merge Fever,8,8.0,0.125,0.0,0.0
Thailand,Tales and Dragon,8,10.25,0.375,0.0,0.0
